grid_size,total_flips,nproc,time_sec
200,10000000,1,0.4191
200,10000000,2,0.347
200,10000000,3,0.324
200,10000000,4,0.272
200,10000000,5,0.268
200,10000000,6,0.258
200,10000000,7,0.248
200,10000000,8,0.246
200,10000000,9,0.248
200,10000000,10,0.248
200,10000000,11,0.291
200,10000000,12,0.291
500,10000000,1,0.3975
500,10000000,2,0.334
500,10000000,3,0.307
500,10000000,4,0.267
500,10000000,5,0.260
500,10000000,6,0.254
500,10000000,7,0.254
500,10000000,8,0.248
500,10000000,9,0.243
500,10000000,10,0.251
500,10000000,11,0.287
500,10000000,12,0.296
200,100000000,1,2.7578
200,100000000,2,1.839
200,100000000,3,1.495
200,100000000,4,1.022
200,100000000,5,0.935
200,100000000,6,0.873
200,100000000,7,0.679
200,100000000,8,0.664
200,100000000,9,0.624
200,100000000,10,0.623
200,100000000,11,0.680
200,100000000,12,0.647
500,100000000,1,2.4256
500,100000000,2,1.678
500,100000000,3,1.358
500,100000000,4,0.952
500,100000000,5,0.857
500,100000000,6,0.777
500,100000000,7,0.737
500,100000000,8,0.677
500,100000000,9,0.568
500,100000000,10,0.570
500,100000000,11,0.657
500,100000000,12,0.699
